code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300033,同花顺,软件服务,浙江,72.47,26362.08,53760.0,328700.72,284965.75,40112.84,35677.57,0.66,0.267,3.48,22.24,20091225
000035,中国天楹,环境保护,江苏,59.61,81160.15,123855.77,446656.56,61684.13,71002.15,94385.43,0.76,0.028999999999999998,1.52,4.57,19940408
600188,兖州煤业,煤炭开采,山东,32.52,295982.94,491201.59,13770342.0,3597428.5,2733894.25,127046.6,0.26,0.05,8.45,1.1,19980701
002264,新 华 都,超市连锁,福建,29.7,53782.64,68456.39,415277.38,166130.92,37757.85,117877.52,1.72,0.069,2.52,3.24,20080731
002252,上海莱士,生物制药,上海,82.41,204085.92,275875.31,1181680.13,507169.91,99034.3,565606.81,2.05,0.113,3.98,9.38,20080623
600816,安信信托,多元金融,上海,11.95,113527.45,176988.98,950311.13,0.0,797.78,182709.94,1.03,0.344,3.56,4.62,19940128
600266,北京城建,区域地产,北京,26.6,151704.0,156704.0,6878990.5,5756755.0,16475.5,379732.28,2.42,0.111,11.97,0.98,19990203
300268,万福生科,农业综合,湖南,0.0,13400.0,13400.0,26205.6,4917.62,5725.81,37698.46,2.81,-0.015,1.51,11.92,20110927
601099,太平洋,证券,云南,922.18,431921.09,454421.09,3919072.5,0.0,21939.93,506989.34,1.12,0.002,2.48,2.43,20071228
600421,仰帆控股,机械基件,湖北,0.0,19560.0,19560.0,7565.32,2223.95,3934.6,19584.88,1.0,-0.002,0.03,590.13,20040607
601198,东兴证券,证券,北京,51.88,90400.0,250400.0,7671423.0,0.0,24354.07,529852.0,2.12,0.111,5.36,4.31,20150226
002489,浙江永强,家居用品,浙江,23.03,186812.06,217573.66,563555.25,334992.31,103275.61,24905.4,0.11,0.079,1.58,4.64,20101021
600348,阳泉煤业,煤炭开采,山西,337.29,240500.0,240500.0,3425810.5,1124527.5,971532.0,0.0,0.0,0.005,5.43,1.12,20030821
